ID_Karyawan,Jenis_Kelamin,Usia,Status_Pernikahan,Tingkat_Jabatan,Pengalaman,Departemen,Tipe_Karyawan,Keseimbangan_Kerja_Hidup,Lingkungan_Kerja,Jam_Aktivitas_Fisik,Beban_Kerja,Tingkat_Stres,Jam_Tidur,Mode_Komodasi,Jarak_Perjalanan,Jumlah_Perusahaan_Sebelumnya,Ukuran_Tim,Jumlah_Laporan,Tingkat_Pendidikan,Lembur,Jam_Pelatihan_PerTahun,Kepuasan_Kerja,Gaji_Kotor
6,Pria,34.0,,Mid-Level,7,IT,Penuh Waktu,1,1,2.5,4.598442890850091,1,,,20,3,12,0,S1,True,33.5,5,
11,Wanita,29.0,Menikah,Mid-Level,12,Finance,Penuh Waktu,1,1,1.8,4.018080250932153,2,5.293733082767086,Mobil,15,4,11,0,S1,False,36.0,5,119254.48369401459
33,Wanita,36.0,Belum Menikah,Magang,1,Marketing,Penuh Waktu,2,4,2.1,4.10854876442467,4,8.163582604207122,Sepeda Motor,17,0,30,0,S1,True,10.5,5,182600.6301514355
20,Wanita,25.0,Menikah,Junior,6,IT,Kontrak,2,2,1.9,7.522724145851301,1,8.214269661866377,Transportasi Publik,13,2,9,0,S1,True,23.0,5,232905.1730739659
45,Wanita,23.0,Menikah,Mid-Level,10,Operations,Paruh Waktu,2,3,1.4,8.56656438825153,2,9.084136530533236,Mobil,8,3,13,0,S1,False,35.0,5,178385.13818676397
21,Wanita,40.0,Belum Menikah,,4,Sales,Penuh Waktu,2,2,1.8,5.969059634705921,1,6.9195492359118935,Mobil,29,1,8,0,S1,True,22.0,5,231549.05899999998
44,Pria,26.0,Belum Menikah,Junior,2,IT,Penuh Waktu,1,3,,5.476705471683877,2,9.258107970014485,Mobil,29,0,10,0,S1,True,21.0,5,127686.89180009734
7,Wanita,27.0,Menikah,Junior,7,Marketing,Penuh Waktu,4,3,1.6,7.017996545656327,1,7.793663328370565,Mobil,13,2,8,0,S1,False,23.5,5,219018.4401298297
15,Wanita,35.0,Belum Menikah,Mid-Level,2,Marketing,Paruh Waktu,5,5,0.5,3.135658789051348,2,7.385270623908464,Sepeda,9,0,10,0,S1,False,31.0,5,198309.4416016545
18,Pria,42.0,Belum Menikah,Mid-Level,14,Customer Service,Penuh Waktu,5,5,0.8,4.034552720739602,1,8.104385769259068,Mobil,8,6,11,0,S1,False,37.0,5,188674.7282701703
32,Pria,22.0,Belum Menikah,Senior,8,Legal,Penuh Waktu,5,5,2.5,5.687247045153217,1,6.68470541128464,Transportasi Publik,19,2,18,2,S1,False,44.0,5,183829.8527455961
59,Wanita,34.0,Belum Menikah,Junior,7,Legal,Penuh Waktu,5,3,2.1,5.320854702709355,1,6.379378459248088,Transportasi Publik,20,2,7,0,S1,False,23.5,5,216626.66196661798
108,Wanita,30.0,Menikah,Senior,12,Finance,Penuh Waktu,5,3,2.0,6.679379068911613,1,7.51148209774997,Transportasi Publik,11,4,21,2,S1,False,46.0,5,189060.22050199515
147,Wanita,24.0,,Mid-Level,7,Finance,Paruh Waktu,4,5,2.7,3.549633325523379,2,,,25,2,14,0,S1,False,33.5,5,
151,Pria,34.0,Menikah,Senior,6,Sales,Penuh Waktu,4,5,1.8,3.9957013134175634,3,8.073304643401435,Sepeda,3,2,16,7,S1,False,43.0,5,91001.90935678832
173,Wanita,24.0,Belum Menikah,Mid-Level,4,Sales,Paruh Waktu,5,5,2.3,3.266569587113262,3,6.205859898132299,Jalan Kaki,2,1,15,0,S1,False,32.0,5,202029.36341187346
185,Pria,32.0,Menikah,Mid-Level,8,Finance,Paruh Waktu,5,4,2.2,5.016561307476213,1,6.125800629887136,Jalan Kaki,2,2,12,0,S1,False,34.0,5,186516.43969459852
218,Wanita,25.0,Belum Menikah,Mid-Level,9,Operations,Penuh Waktu,5,5,,6.866236325677057,1,7.667196478387839,Mobil,8,7,12,0,S1,,34.5,5,140732.8175158151
323,Pria,27.0,Belum Menikah,Junior,6,Operations,Penuh Waktu,5,5,2.2,4.669879741850247,1,8.612647386147584,Sepeda,4,2,7,0,S1,False,23.0,5,204587.5709896837
338,Pria,30.0,Belum Menikah,Junior,2,Operations,Penuh Waktu,4,4,2.3,4.101523874521675,1,6.936444899614661,Transportasi Publik,20,1,7,0,S1,False,21.0,5,231001.03972788324
367,Pria,35.0,Menikah,Mid-Level,3,Finance,Penuh Waktu,4,4,2.6,7.088397107950152,1,7.852330463615418,Sepeda,2,9,12,0,S1,False,31.5,5,208550.4472295864
387,Pria,25.0,Menikah,Mid-Level,8,Operations,Penuh Waktu,4,5,0.2,4.9823196275425845,1,8.862599294701454,Mobil,11,2,12,0,S1,False,34.0,5,143374.6723876399
398,Wanita,31.0,Belum Menikah,Junior,1,Finance,Penuh Waktu,5,5,0.0,6.582334791920292,1,7.4306118669238685,Jalan Kaki,2,0,9,0,S1,False,20.5,5,128996.9239407299
406,Pria,27.0,Menikah,Mid-Level,9,IT,Penuh Waktu,5,4,2.5,2.681008046192903,1,7.021550029621707,Transportasi Publik,16,3,13,0,S1,False,34.5,5,131523.00047961072
427,Wanita,26.0,Menikah,Mid-Level,23,Legal,Penuh Waktu,5,5,1.2,5.89556609096734,1,6.858304616129742,Mobil,29,7,13,0,S1,False,41.5,5,146787.30576642335
474,Wanita,34.0,Cerai,Mid-Level,18,Finance,Penuh Waktu,5,5,2.3,5.9140053178705045,2,9.607947846963791,Sepeda,7,9,13,0,S1,False,39.0,5,200676.89205547443
548,Wanita,27.0,Belum Menikah,Senior,9,Marketing,Paruh Waktu,5,3,0.4,3.629348389043429,1,7.7802223039021285,Transportasi Publik,17,3,24,6,S1,False,44.5,5,143549.8541812165
551,Wanita,26.0,Menikah,Junior,5,Legal,Paruh Waktu,5,4,2.0,2.9958711268128466,1,5.968998745369436,Jalan Kaki,2,1,10,0,S1,False,22.5,5,212071.98551493915
568,Wanita,30.0,Menikah,,2,Finance,Penuh Waktu,5,2,3.2,3.394593582224084,1,7.592418458446652,Mobil,24,0,8,0,S1,False,21.0,5,80675.56747279804
603,Pria,23.0,Menikah,Senior,14,Finance,Penuh Waktu,5,4,2.1,5.457714132301714,1,,Mobil,10,11,18,1,S1,False,47.0,5,224517.00847094884
638,Wanita,27.0,Cerai,Senior,26,Marketing,Paruh Waktu,4,5,2.1,6.815591798057036,2,7.624992705371156,Mobil,27,8,24,7,S1,False,53.0,5,37813.18213498782
659,Pria,32.0,,Magang,0,Operations,Penuh Waktu,5,3,1.5,3.861670496384773,1,,,1,0,26,0,S1,False,10.0,5,
739,Pria,20.0,Menikah,Senior,4,IT,Penuh Waktu,5,4,2.7,5.757387682850251,1,6.743155942698834,Mobil,21,4,24,1,S1,True,42.0,5,146179.64868321168
810,Pria,24.0,Belum Menikah,Magang,0,Legal,Paruh Waktu,5,4,2.1,3.508718740034377,2,6.417740406938275,Sepeda,7,0,23,0,S1,False,10.0,5,177797.59952389292
905,Pria,27.0,Belum Menikah,Junior,3,Finance,Penuh Waktu,5,5,0.9,3.5703398551606544,1,7.733015476795909,Jalan Kaki,1,1,8,0,S1,False,21.5,5,85612.52088836982
920,Pria,34.0,Belum Menikah,Junior,2,Finance,Paruh Waktu,5,5,4.6,2.0045207846588817,3,5.1015671959847175,Transportasi Publik,6,0,5,0,S1,False,21.0,5,171225.65430160577
932,Pria,47.0,Belum Menikah,Junior,4,IT,Paruh Waktu,5,5,1.6,8.54613203317259,1,9.067109567967453,Sepeda,1,1,9,0,S1,True,22.0,5,146737.82354647203
937,Wanita,25.0,Belum Menikah,Senior,2,Marketing,Paruh Waktu,5,4,2.6,5.665586331888978,1,9.409212658178568,Transportasi Publik,18,3,19,7,S1,False,41.0,5,86131.8342123601
972,Wanita,21.0,Belum Menikah,Senior,5,Finance,Penuh Waktu,4,4,2.5,6.491133809482724,1,7.3546110482258955,Mobil,23,2,23,4,S1,False,42.5,5,209712.7946189781
1035,Pria,21.0,Belum Menikah,Mid-Level,3,IT,Paruh Waktu,5,5,2.4,6.848506581953036,1,7.652421691951156,Mobil,10,2,12,0,S1,False,31.5,5,86830.48007240874
